Point 86 --> || t = 504.8000000000 || max_dvdt = 15.2675429779 ||
Point 87 --> || t = 504.8000000000 || max_dvdt = 15.7427169215 ||
Point 88 --> || t = 504.8000000000 || max_dvdt = 15.7415456224 ||
Point 89 --> || t = 504.8000000000 || max_dvdt = 15.3885712296 ||
Point 90 --> || t = 504.9000000000 || max_dvdt = 15.5605539305 ||
Point 91 --> || t = 504.9000000000 || max_dvdt = 15.8029114120 ||
Point 92 --> || t = 504.9000000000 || max_dvdt = 15.6211960144 ||
Point 93 --> || t = 505.0000000000 || max_dvdt = 15.2244207814 ||
Point 94 --> || t = 505.0000000000 || max_dvdt = 15.7409124579 ||
Point 95 --> || t = 505.0000000000 || max_dvdt = 15.7671032448 ||
Point 96 --> || t = 505.0000000000 || max_dvdt = 15.4282770593 ||
Point 97 --> || t = 505.1000000000 || max_dvdt = 15.5422570701 ||
Point 98 --> || t = 505.1000000000 || max_dvdt = 15.8096840550 ||
Point 99 --> || t = 505.1000000000 || max_dvdt = 15.6408506481 ||
Point 100 --> || t = 505.2000000000 || max_dvdt = 15.2005187505 ||
Point 101 --> || t = 505.2000000000 || max_dvdt = 15.7354432997 ||
Point 102 --> || t = 505.2000000000 || max_dvdt = 15.7691468884 ||
Point 103 --> || t = 505.2000000000 || max_dvdt = 15.4290828771 ||
Point 104 --> || t = 505.3000000000 || max_dvdt = 15.5367772300 ||
Point 105 --> || t = 505.3000000000 || max_dvdt = 15.8008442105 ||
Point 106 --> || t = 505.3000000000 || max_dvdt = 15.6210762134 ||
Point 107 --> || t = 505.4000000000 || max_dvdt = 15.2149066535 ||
Point 108 --> || t = 505.4000000000 || max_dvdt = 15.7289066753 ||
Point 109 --> || t = 505.4000000000 || max_dvdt = 15.7345370282 ||
Point 110 --> || t = 505.4000000000 || max_dvdt = 15.3647464510 ||
Point 111 --> || t = 505.5000000000 || max_dvdt = 15.5547326051 ||
Point 112 --> || t = 505.5000000000 || max_dvdt = 15.7637890505 ||
